Player,GP,W%,SCPG,GPG,APG,SAPG,SHPG,Rating,Country
renaN,252,"
    54.37%
  ","
    352.15
  ","
    0.64
  ","
    0.59
  ","
    1.45
  ","
    2.48
  ",0.98,br
Aviator,9,"
    33.33%
  ","
    358.33
  ","
    0.67
  ","
    0.44
  ","
    1.67
  ","
    2.67
  ",0.97,int
Sadness,73,"
    58.90%
  ","
    402.16
  ","
    0.53
  ","
    0.60
  ","
    1.99
  ","
    2.03
  ",0.97,br
Haberkamper,246,"
    52.85%
  ","
    371.31
  ","
    0.67
  ","
    0.48
  ","
    1.62
  ","
    2.79
  ",0.97,br
Kerian,202,"
    48.02%
  ","
    385.96
  ","
    0.57
  ","
    0.63
  ","
    1.80
  ","
    2.71
  ",0.97,fr
Turtle,207,"
    48.79%
  ","
    237.87
  ","
    0.73
  ","
    0.61
  ","
    1.18
  ","
    2.48
  ",0.97,us
Flakes,88,"
    46.59%
  ","
    387.85
  ","
    0.59
  ","
    0.39
  ","
    2.10
  ","
    2.31
  ",0.97,nl
TestGravity,18,"
    38.89%
  ","
    346.28
  ","
    0.61
  ","
    0.61
  ","
    1.67
  ","
    2.17
  ",0.97,int
ZPS,242,"
    50.41%
  ","
    371.86
  ","
    0.79
  ","
    0.41
  ","
    1.61
  ","
    3.13
  ",0.97,us
money,32,"
    46.88%
  ","
    371.97
  ","
    0.63
  ","
    0.63
  ","
    1.50
  ","
    2.34
  ",0.97,int
Tylacto,54,"
    27.78%
  ","
    319.44
  ","
    0.67
  ","
    0.54
  ","
    1.80
  ","
    2.35
  ",0.97,gb
Ghost,157,"
    48.41%
  ","
    351.52
  ","
    0.73
  ","
    0.51
  ","
    1.34
  ","
    2.70
  ",0.97,au
Tox,277,"
    61.73%
  ","
    376.99
  ","
    0.61
  ","
    0.70
  ","
    1.60
  ","
    2.46
  ",0.97,de
CJM,149,"
    40.27%
  ","
    303.68
  ","
    0.68
  ","
    0.54
  ","
    1.46
  ","
    2.50
  ",0.97,nz
Zamue,289,"
    60.21%
  ","
    363.01
  ","
    0.70
  ","
    0.63
  ","
    1.43
  ","
    2.84
  ",0.97,es
Torment,578,"
    54.33%
  ","
    329.90
  ","
    0.63
  ","
    0.54
  ","
    1.75
  ","
    2.38
  ",0.97,us
MaRc By 8,257,"
    63.04%
  ","
    347.62
  ","
    0.77
  ","
    0.60
  ","
    1.22
  ","
    2.86
  ",0.97,es
Lethamyr,237,"
    46.84%
  ","
    301.83
  ","
    0.63
  ","
    0.47
  ","
    1.63
  ","
    2.73
  ",0.97,ca
Szaro,110,"
    32.73%
  ","
    343.64
  ","
    0.67
  ","
    0.53
  ","
    1.32
  ","
    2.71
  ",0.97,ar
ZeN,258,"
    50.00%
  ","
    322.00
  ","
    0.71
  ","
    0.54
  ","
    1.33
  ","
    2.59
  ",0.97,au
Shadd,196,"
    51.02%
  ","
    373.85
  ","
    0.67
  ","
    0.43
  ","
    1.62
  ","
    2.76
  ",0.97,ar
Night,31,"
    29.03%
  ","
    370.06
  ","
    0.71
  ","
    0.45
  ","
    1.52
  ","
    2.26
  ",0.97,int
Vogan,68,"
    44.12%
  ","
    231.40
  ","
    0.69
  ","
    0.50
  ","
    1.56
  ","
    2.56
  ",0.97,nl
Tadpole,268,"
    48.13%
  ","
    365.78
  ","
    0.63
  ","
    0.55
  ","
    1.57
  ","
    2.74
  ",0.96,gb
LionBlaze,178,"
    46.63%
  ","
    372.13
  ","
    0.66
  ","
    0.48
  ","
    1.57
  ","
    3.03
  ",0.96,us
Boom,66,"
    42.42%
  ","
    366.83
  ","
    0.70
  ","
    0.47
  ","
    1.82
  ","
    2.53
  ",0.96,pe
noly,288,"
    50.69%
  ","
    372.59
  ","
    0.67
  ","
    0.55
  ","
    1.64
  ","
    2.58
  ",0.96,gb
Sketch,10,"
    40.00%
  ","
    367.70
  ","
    0.90
  ","
    0.50
  ","
    1.60
  ","
    2.20
  ",0.96,int
EyeIgnite,187,"
    44.39%
  ","
    327.40
  ","
    0.66
  ","
    0.41
  ","
    1.58
  ","
    2.73
  ",0.96,gb
DmentZa,101,"
    52.48%
  ","
    385.30
  ","
    0.57
  ","
    0.60
  ","
    1.97
  ","
    2.52
  ",0.96,es
kirii,35,"
    34.29%
  ","
    373.00
  ","
    0.83
  ","
    0.23
  ","
    1.49
  ","
    2.77
  ",0.96,us
RoToR,14,"
    14.29%
  ","
    351.79
  ","
    0.71
  ","
    0.29
  ","
    1.50
  ","
    3.14
  ",0.96,int
Luk,127,"
    50.39%
  ","
    367.52
  ","
    0.57
  ","
    0.56
  ","
    1.63
  ","
    2.47
  ",0.96,br
Rapid,267,"
    52.06%
  ","
    361.53
  ","
    0.63
  ","
    0.62
  ","
    1.41
  ","
    2.88
  ",0.96,us
sN0wKyy,3,"
    66.67%
  ","
    291.33
  ","
    0.33
  ","
    1.00
  ","
    1.33
  ","
    3.00
  ",0.96,int
Lachinio,134,"
    50.00%
  ","
    231.60
  ","
    0.77
  ","
    0.54
  ","
    1.31
  ","
    2.54
  ",0.96,ca
Chausette45,653,"
    52.07%
  ","
    337.60
  ","
    0.61
  ","
    0.47
  ","
    1.82
  ","
    2.66
  ",0.96,fr
Unknow,20,"
    40.00%
  ","
    359.75
  ","
    0.55
  ","
    0.70
  ","
    1.45
  ","
    2.55
  ",0.96,fr
Paschy90,341,"
    52.20%
  ","
    250.37
  ","
    0.72
  ","
    0.52
  ","
    1.34
  ","
    2.46
  ",0.96,de
Kevpert,4,"
    25.00%
  ","
    415.75
  ","
    1.00
  ","
    0.00
  ","
    2.50
  ","
    2.25
  ",0.96,us
Kronovi,669,"
    52.91%
  ","
    302.94
  ","
    0.67
  ","
    0.54
  ","
    1.42
  ","
    2.75
  ",0.96,us
Davitrox,49,"
    40.82%
  ","
    348.92
  ","
    0.53
  ","
    0.55
  ","
    1.61
  ","
    2.59
  ",0.96,int
Nozai,17,"
    41.18%
  ","
    384.18
  ","
    0.65
  ","
    0.47
  ","
    1.88
  ","
    2.47
  ",0.96,int
Insolences,215,"
    46.98%
  ","
    248.79
  ","
    0.66
  ","
    0.54
  ","
    1.50
  ","
    2.24
  ",0.95,us
BeastMode,243,"
    55.97%
  ","
    371.03
  ","
    0.64
  ","
    0.54
  ","
    1.53
  ","
    3.05
  ",0.95,us
Bluey,396,"
    50.25%
  ","
    342.84
  ","
    0.61
  ","
    0.56
  ","
    1.65
  ","
    2.54
  ",0.95,gb
arju,190,"
    53.68%
  ","
    364.45
  ","
    0.64
  ","
    0.58
  ","
    1.61
  ","
    2.66
  ",0.95,it
RawGreg,16,"
    37.50%
  ","
    363.81
  ","
    0.81
  ","
    0.56
  ","
    1.06
  ","
    3.38
  ",0.95,us
CorruptedG,276,"
    43.12%
  ","
    263.41
  ","
    0.66
  ","
    0.49
  ","
    1.44
  ","
    2.34
  ",0.95,ca
Chrome,190,"
    44.21%
  ","
    234.32
  ","
    0.65
  ","
    0.55
  ","
    1.42
  ","
    2.46
  ",0.95,us
Turinturo,234,"
    53.85%
  ","
    362.84
  ","
    0.62
  ","
    0.54
  ","
    1.72
  ","
    2.53
  ",0.95,us
Doomsee,86,"
    41.86%
  ","
    233.72
  ","
    0.72
  ","
    0.50
  ","
    1.33
  ","
    2.77
  ",0.95,gb
Jake,156,"
    66.67%
  ","
    240.90
  ","
    0.61
  ","
    0.66
  ","
    1.26
  ","
    2.56
  ",0.95,au
remkoe,500,"
    51.60%
  ","
    288.54
  ","
    0.68
  ","
    0.49
  ","
    1.41
  ","
    2.72
  ",0.95,nl
Dumbo,179,"
    50.84%
  ","
    257.17
  ","
    0.68
  ","
    0.58
  ","
    1.17
  ","
    2.40
  ",0.95,au
blaze,12,"
    41.67%
  ","
    314.75
  ","
    0.83
  ","
    0.50
  ","
    0.83
  ","
    2.83
  ",0.95,us
Hato,43,"
    30.23%
  ","
    281.02
  ","
    0.60
  ","
    0.56
  ","
    1.84
  ","
    2.12
  ",0.95,us
Jay,12,"
    41.67%
  ","
    360.08
  ","
    0.75
  ","
    0.58
  ","
    1.75
  ","
    2.50
  ",0.95,int
Jacob,384,"
    51.30%
  ","
    266.34
  ","
    0.63
  ","
    0.62
  ","
    1.38
  ","
    2.12
  ",0.95,us
Negative,78,"
    48.72%
  ","
    384.54
  ","
    0.65
  ","
    0.46
  ","
    1.72
  ","
    2.50
  ",0.95,int
ELMP,86,"
    41.86%
  ","
    222.44
  ","
    0.69
  ","
    0.59
  ","
    1.37
  ","
    2.70
  ",0.95,de
DeitySpartan,3,"
    0.00%
  ","
    300.00
  ","
    0.67
  ","
    0.67
  ","
    0.67
  ","
    2.67
  ",0.95,int
ExoTiiK,202,"
    48.02%
  ","
    371.55
  ","
    0.70
  ","
    0.47
  ","
    1.60
  ","
    2.81
  ",0.95,fr
Taroco,178,"
    41.01%
  ","
    374.18
  ","
    0.66
  ","
    0.51
  ","
    1.74
  ","
    2.94
  ",0.95,ca
Flickky,13,"
    46.15%
  ","
    383.31
  ","
    0.85
  ","
    0.46
  ","
    1.46
  ","
    2.85
  ",0.95,int
Seeks,5,"
    60.00%
  ","
    217.00
  ","
    0.60
  ","
    1.00
  ","
    1.00
  ","
    2.80
  ",0.95,be
ZhearX,6,"
    50.00%
  ","
    390.33
  ","
    0.83
  ","
    0.50
  ","
    1.50
  ","
    2.67
  ",0.94,int
Mittaen,223,"
    49.78%
  ","
    373.83
  ","
    0.57
  ","
    0.57
  ","
    1.74
  ","
    2.77
  ",0.94,nl
Joreuz,177,"
    44.63%
  ","
    374.19
  ","
    0.68
  ","
    0.49
  ","
    1.58
  ","
    2.94
  ",0.94,nl
Yeoj,7,"
    14.29%
  ","
    313.14
  ","
    0.57
  ","
    0.43
  ","
    1.57
  ","
    2.57
  ",0.94,int
hockE,32,"
    46.88%
  ","
    400.53
  ","
    0.63
  ","
    0.41
  ","
    2.19
  ","
    2.28
  ",0.94,us
Scarth,157,"
    47.77%
  ","
    346.09
  ","
    0.64
  ","
    0.56
  ","
    1.44
  ","
    2.45
  ",0.94,au
Reysbull,191,"
    51.83%
  ","
    365.01
  ","
    0.58
  ","
    0.57
  ","
    1.54
  ","
    2.45
  ",0.94,cl
Espeon,160,"
    49.38%
  ","
    241.00
  ","
    0.78
  ","
    0.36
  ","
    1.24
  ","
    2.71
  ",0.94,us
Spyder,70,"
    41.43%
  ","
    360.06
  ","
    0.74
  ","
    0.36
  ","
    1.60
  ","
    2.93
  ",0.94,us
cluney,17,"
    29.41%
  ","
    388.59
  ","
    0.76
  ","
    0.24
  ","
    2.00
  ","
    2.41
  ",0.94,int
gReazy,407,"
    54.79%
  ","
    295.13
  ","
    0.62
  ","
    0.57
  ","
    1.44
  ","
    2.73
  ",0.94,no
Aeon,83,"
    43.37%
  ","
    352.95
  ","
    0.66
  ","
    0.46
  ","
    1.48
  ","
    2.66
  ",0.94,us
eli,63,"
    30.16%
  ","
    348.94
  ","
    0.73
  ","
    0.35
  ","
    1.59
  ","
    2.11
  ",0.94,au
Daze,83,"
    40.96%
  ","
    251.51
  ","
    0.59
  ","
    0.61
  ","
    1.36
  ","
    2.02
  ",0.94,au
Tango,116,"
    52.59%
  ","
    366.95
  ","
    0.59
  ","
    0.59
  ","
    1.65
  ","
    2.52
  ",0.94,au
bramdeswaggerd,54,"
    42.59%
  ","
    369.61
  ","
    0.63
  ","
    0.46
  ","
    1.94
  ","
    2.33
  ",0.94,be
SrNaniiTou,49,"
    40.82%
  ","
    349.69
  ","
    0.71
  ","
    0.41
  ","
    1.55
  ","
    2.22
  ",0.94,int
Scrub Killa,445,"
    54.83%
  ","
    371.57
  ","
    0.56
  ","
    0.45
  ","
    1.96
  ","
    2.45
  ",0.94,gb
Paradise,11,"
    45.45%
  ","
    404.91
  ","
    0.73
  ","
    0.45
  ","
    1.82
  ","
    2.09
  ",0.94,int
Snaski,203,"
    41.87%
  ","
    252.76
  ","
    0.61
  ","
    0.48
  ","
    1.61
  ","
    2.40
  ",0.94,dk
Sizz,193,"
    41.45%
  ","
    248.94
  ","
    0.58
  ","
    0.55
  ","
    1.56
  ","
    2.15
  ",0.93,us
Yukiss,202,"
    48.02%
  ","
    365.01
  ","
    0.69
  ","
    0.48
  ","
    1.56
  ","
    2.86
  ",0.93,fr
Kraziks,115,"
    45.22%
  ","
    345.68
  ","
    0.60
  ","
    0.56
  ","
    1.46
  ","
    2.80
  ",0.93,int
Zeddo,44,"
    38.64%
  ","
    348.68
  ","
    0.64
  ","
    0.57
  ","
    1.52
  ","
    2.64
  ",0.93,de
Swift,17,"
    41.18%
  ","
    348.41
  ","
    0.76
  ","
    0.53
  ","
    1.06
  ","
    2.88
  ",0.93,int
Deevo,615,"
    52.68%
  ","
    324.26
  ","
    0.58
  ","
    0.56
  ","
    1.62
  ","
    2.42
  ",0.93,gb
Reeves,23,"
    43.48%
  ","
    342.09
  ","
    0.83
  ","
    0.39
  ","
    1.35
  ","
    2.35
  ",0.93,int
Skillz,56,"
    39.29%
  ","
    353.82
  ","
    0.55
  ","
    0.57
  ","
    1.52
  ","
    2.91
  ",0.93,us
Metsanauris,569,"
    49.38%
  ","
    324.43
  ","
    0.62
  ","
    0.53
  ","
    1.49
  ","
    2.46
  ",0.93,fi
Aris,29,"
    44.83%
  ","
    404.62
  ","
    0.76
  ","
    0.31
  ","
    1.83
  ","
    2.62
  ",0.93,int
Ferra,617,"
    52.35%
  ","
    302.38
  ","
    0.73
  ","
    0.45
  ","
    1.19
  ","
    2.89
  ",0.93,fr
vortexioz,93,"
    58.06%
  ","
    347.13
  ","
    0.69
  ","
    0.59
  ","
    1.12
  ","
    2.66
  ",0.93,int
ellusive,100,"
    45.00%
  ","
    229.20
  ","
    0.58
  ","
    0.52
  ","
    1.49
  ","
    2.13
  ",0.93,au
Sikii,222,"
    45.50%
  ","
    242.68
  ","
    0.56
  ","
    0.53
  ","
    1.57
  ","
    2.47
  ",0.93,de
FirefoxD,246,"
    52.85%
  ","
    348.45
  ","
    0.63
  ","
    0.50
  ","
    1.30
  ","
    3.01
  ",0.93,br
Dareyck,3,"
    0.00%
  ","
    406.00
  ","
    0.33
  ","
    0.33
  ","
    3.33
  ","
    1.33
  ",0.93,ca
Lausiie,41,"
    41.46%
  ","
    372.15
  ","
    0.76
  ","
    0.37
  ","
    1.54
  ","
    2.80
  ",0.93,int
AxB,313,"
    48.88%
  ","
    361.63
  ","
    0.60
  ","
    0.51
  ","
    1.57
  ","
    2.47
  ",0.93,ca
Cypso,3,"
    0.00%
  ","
    388.33
  ","
    0.00
  ","
    1.33
  ","
    2.67
  ","
    1.00
  ",0.93,int
Yanxnz,23,"
    52.17%
  ","
    357.35
  ","
    0.74
  ","
    0.39
  ","
    1.00
  ","
    3.43
  ",0.93,int
Hockser,207,"
    41.55%
  ","
    374.60
  ","
    0.55
  ","
    0.45
  ","
    1.87
  ","
    2.69
  ",0.92,us
Virtuoso,280,"
    48.93%
  ","
    347.11
  ","
    0.68
  ","
    0.55
  ","
    1.28
  ","
    2.69
  ",0.92,ie
C4,32,"
    37.50%
  ","
    315.97
  ","
    0.72
  ","
    0.31
  ","
    1.19
  ","
    2.06
  ",0.92,br
Requiem,245,"
    51.43%
  ","
    302.85
  ","
    0.65
  ","
    0.55
  ","
    1.13
  ","
    2.33
  ",0.92,au
Dead-Monster,88,"
    48.86%
  ","
    364.39
  ","
    0.75
  ","
    0.41
  ","
    1.52
  ","
    2.74
  ",0.92,it
fAsi,85,"
    47.06%
  ","
    352.68
  ","
    0.67
  ","
    0.35
  ","
    1.44
  ","
    2.65
  ",0.92,br
Spcterrr,11,"
    18.18%
  ","
    335.00
  ","
    0.45
  ","
    0.45
  ","
    1.45
  ","
    3.09
  ",0.92,int
ceeva,36,"
    33.33%
  ","
    393.97
  ","
    0.64
  ","
    0.39
  ","
    1.81
  ","
    2.86
  ",0.92,au
Alex837,17,"
    41.18%
  ","
    339.94
  ","
    0.65
  ","
    0.71
  ","
    1.24
  ","
    2.53
  ",0.92,int
Rizex45,179,"
    43.02%
  ","
    382.73
  ","
    0.58
  ","
    0.49
  ","
    1.90
  ","
    2.41
  ",0.92,de
Timbathy,46,"
    58.70%
  ","
    209.46
  ","
    0.76
  ","
    0.54
  ","
    1.22
  ","
    2.13
  ",0.92,us
Daisu,102,"
    36.27%
  ","
    336.18
  ","
    0.57
  ","
    0.50
  ","
    1.55
  ","
    2.49
  ",0.92,au
Parzival,6,"
    16.67%
  ","
    304.67
  ","
    0.67
  ","
    0.50
  ","
    1.33
  ","
    2.33
  ",0.92,int
AlRaz,102,"
    39.22%
  ","
    376.67
  ","
    0.65
  ","
    0.39
  ","
    1.66
  ","
    2.68
  ",0.92,us
Samuel,29,"
    27.59%
  ","
    332.21
  ","
    0.66
  ","
    0.41
  ","
    1.34
  ","
    2.66
  ",0.92,int
trellski,3,"
    0.00%
  ","
    406.00
  ","
    0.67
  ","
    0.33
  ","
    2.67
  ","
    2.00
  ",0.92,int
tristn,81,"
    53.09%
  ","
    334.22
  ","
    0.56
  ","
    0.51
  ","
    1.40
  ","
    2.75
  ",0.92,us
FlamE,375,"
    53.87%
  ","
    342.81
  ","
    0.60
  ","
    0.57
  ","
    1.45
  ","
    2.55
  ",0.92,gb
JPow,205,"
    43.41%
  ","
    354.58
  ","
    0.61
  ","
    0.45
  ","
    1.64
  ","
    2.82
  ",0.92,us
ajg,177,"
    49.72%
  ","
    358.18
  ","
    0.55
  ","
    0.54
  ","
    1.62
  ","
    2.41
  ",0.92,ar
Genocop,68,"
    41.18%
  ","
    237.57
  ","
    0.63
  ","
    0.49
  ","
    1.32
  ","
    2.50
  ",0.91,us
Extra,293,"
    58.36%
  ","
    356.48
  ","
    0.68
  ","
    0.45
  ","
    1.49
  ","
    2.89
  ",0.91,fr
Pollie,7,"
    14.29%
  ","
    358.71
  ","
    0.57
  ","
    0.43
  ","
    1.57
  ","
    2.29
  ",0.91,int
SnarfSnarf,97,"
    47.42%
  ","
    249.74
  ","
    0.51
  ","
    0.65
  ","
    1.13
  ","
    2.59
  ",0.91,au
Kassio,402,"
    55.47%
  ","
    340.19
  ","
    0.66
  ","
    0.48
  ","
    1.42
  ","
    2.70
  ",0.91,fr
Lerky,47,"
    34.04%
  ","
    349.77
  ","
    0.60
  ","
    0.49
  ","
    1.40
  ","
    2.81
  ",0.91,au
JJ,18,"
    38.89%
  ","
    375.17
  ","
    0.61
  ","
    0.44
  ","
    1.56
  ","
    3.06
  ",0.91,int
Jordan,209,"
    46.89%
  ","
    349.61
  ","
    0.60
  ","
    0.52
  ","
    1.56
  ","
    2.82
  ",0.91,ca
VKSailen,66,"
    42.42%
  ","
    377.17
  ","
    0.62
  ","
    0.41
  ","
    1.73
  ","
    2.95
  ",0.91,es
Calzafy,24,"
    45.83%
  ","
    370.83
  ","
    0.67
  ","
    0.54
  ","
    1.58
  ","
    2.63
  ",0.91,gb
Oscillon,140,"
    52.14%
  ","
    352.25
  ","
    0.63
  ","
    0.54
  ","
    1.39
  ","
    2.78
  ",0.91,nl
Calix,217,"
    48.39%
  ","
    344.74
  ","
    0.68
  ","
    0.47
  ","
    1.47
  ","
    2.67
  ",0.91,de
Radoko,242,"
    50.41%
  ","
    362.95
  ","
    0.54
  ","
    0.50
  ","
    1.76
  ","
    2.55
  ",0.91,ca
BoyScHool Q,64,"
    42.19%
  ","
    372.42
  ","
    0.67
  ","
    0.48
  ","
    1.48
  ","
    2.59
  ",0.91,int
Rix Ronday,185,"
    41.62%
  ","
    335.39
  ","
    0.64
  ","
    0.52
  ","
    1.48
  ","
    2.32
  ",0.91,nl
Toastie,111,"
    45.95%
  ","
    341.67
  ","
    0.70
  ","
    0.41
  ","
    1.41
  ","
    2.87
  ",0.91,us
kirn,54,"
    53.70%
  ","
    357.37
  ","
    0.59
  ","
    0.57
  ","
    1.63
  ","
    2.31
  ",0.91,int
PeaKy,54,"
    42.59%
  ","
    354.63
  ","
    0.59
  ","
    0.52
  ","
    1.78
  ","
    2.09
  ",0.91,int
womped,54,"
    42.59%
  ","
    395.87
  ","
    0.59
  ","
    0.43
  ","
    2.02
  ","
    2.72
  ",0.91,int
JWismont,89,"
    40.45%
  ","
    348.01
  ","
    0.63
  ","
    0.42
  ","
    1.43
  ","
    2.92
  ",0.91,us
Yukeo,422,"
    50.24%
  ","
    342.74
  ","
    0.57
  ","
    0.46
  ","
    1.68
  ","
    2.59
  ",0.91,at
tcorrell,133,"
    46.62%
  ","
    403.18
  ","
    0.54
  ","
    0.39
  ","
    2.27
  ","
    2.26
  ",0.91,us
HAZA,60,"
    46.67%
  ","
    362.68
  ","
    0.58
  ","
    0.43
  ","
    1.82
  ","
    2.90
  ",0.90,au
Mognus,328,"
    41.77%
  ","
    317.15
  ","
    0.48
  ","
    0.45
  ","
    1.83
  ","
    2.45
  ",0.90,fi
Adverse,21,"
    52.38%
  ","
    368.95
  ","
    0.57
  ","
    0.52
  ","
    1.62
  ","
    3.14
  ",0.90,us
Ahduhm,64,"
    48.44%
  ","
    368.86
  ","
    0.50
  ","
    0.55
  ","
    1.91
  ","
    1.95
  ",0.90,us
Moses,145,"
    46.90%
  ","
    220.90
  ","
    0.56
  ","
    0.53
  ","
    1.56
  ","
    2.18
  ",0.90,us
Piksel,31,"
    32.26%
  ","
    220.97
  ","
    0.65
  ","
    0.52
  ","
    1.45
  ","
    2.58
  ",0.90,dk
Hyderr,24,"
    45.83%
  ","
    345.92
  ","
    0.50
  ","
    0.67
  ","
    1.50
  ","
    2.96
  ",0.90,int
Quinn Lobdell,78,"
    48.72%
  ","
    203.46
  ","
    0.71
  ","
    0.50
  ","
    1.01
  ","
    2.46
  ",0.90,us
Tequilaz,56,"
    42.86%
  ","
    204.11
  ","
    0.70
  ","
    0.36
  ","
    1.46
  ","
    1.73
  ",0.90,fr
Polar,88,"
    48.86%
  ","
    357.44
  ","
    0.49
  ","
    0.72
  ","
    1.43
  ","
    2.60
  ",0.90,gb
Dadooh,56,"
    42.86%
  ","
    227.05
  ","
    0.61
  ","
    0.50
  ","
    1.27
  ","
    2.61
  ",0.90,fr
Kuma,46,"
    45.65%
  ","
    328.28
  ","
    0.57
  ","
    0.65
  ","
    1.43
  ","
    2.04
  ",0.90,int
Tool,49,"
    42.86%
  ","
    366.96
  ","
    0.59
  ","
    0.55
  ","
    1.67
  ","
    2.82
  ",0.90,us
Catalysm,91,"
    46.15%
  ","
    357.42
  ","
    0.60
  ","
    0.49
  ","
    1.58
  ","
    2.96
  ",0.90,de
ayjacks,288,"
    44.79%
  ","
    365.87
  ","
    0.54
  ","
    0.42
  ","
    1.90
  ","
    2.50
  ",0.90,us
indigo,15,"
    40.00%
  ","
    312.33
  ","
    0.53
  ","
    0.47
  ","
    1.47
  ","
    2.00
  ",0.90,int
Gyro,355,"
    54.08%
  ","
    361.37
  ","
    0.53
  ","
    0.51
  ","
    1.76
  ","
    2.34
  ",0.90,us
Shmoopernator,78,"
    48.72%
  ","
    344.45
  ","
    0.64
  ","
    0.45
  ","
    1.56
  ","
    2.37
  ",0.90,int
Dappur,270,"
    39.26%
  ","
    304.11
  ","
    0.62
  ","
    0.35
  ","
    1.68
  ","
    2.47
  ",0.90,us
Cheerio,35,"
    34.29%
  ","
    346.46
  ","
    0.60
  ","
    0.43
  ","
    1.86
  ","
    2.14
  ",0.90,se
Pwndx,82,"
    41.46%
  ","
    236.46
  ","
    0.62
  ","
    0.48
  ","
    1.27
  ","
    2.41
  ",0.90,dk
Sadjunior,229,"
    49.34%
  ","
    225.41
  ","
    0.60
  ","
    0.55
  ","
    1.29
  ","
    2.42
  ",0.90,ca
Dark,25,"
    40.00%
  ","
    323.96
  ","
    0.76
  ","
    0.36
  ","
    1.32
  ","
    2.52
  ",0.90,int
Montyconnor,111,"
    49.55%
  ","
    226.71
  ","
    0.50
  ","
    0.63
  ","
    1.28
  ","
    2.23
  ",0.90,nz
cyrix,126,"
    45.24%
  ","
    237.26
  ","
    0.64
  ","
    0.44
  ","
    1.31
  ","
    2.30
  ",0.90,au
Gooch,44,"
    36.36%
  ","
    388.41
  ","
    0.66
  ","
    0.36
  ","
    1.80
  ","
    2.57
  ",0.90,gb
Mach,6,"
    0.00%
  ","
    375.50
  ","
    0.33
  ","
    0.50
  ","
    2.17
  ","
    2.17
  ",0.90,int
Comp,25,"
    40.00%
  ","
    384.44
  ","
    0.48
  ","
    0.52
  ","
    1.72
  ","
    3.04
  ",0.90,int
Sempa,68,"
    30.88%
  ","
    333.38
  ","
    0.50
  ","
    0.47
  ","
    1.54
  ","
    2.47
  ",0.90,ar
Sniper,33,"
    36.36%
  ","
    241.18
  ","
    0.58
  ","
    0.55
  ","
    1.42
  ","
    2.18
  ",0.90,no
Joro,27,"
    40.74%
  ","
    312.78
  ","
    0.52
  ","
    0.33
  ","
    1.89
  ","
    2.22
  ",0.90,us
Net,5,"
    0.00%
  ","
    357.60
  ","
    0.60
  ","
    0.20
  ","
    2.20
  ","
    1.60
  ",0.90,int
Finn,77,"
    45.45%
  ","
    359.39
  ","
    0.58
  ","
    0.51
  ","
    1.56
  ","
    2.57
  ",0.89,int
Shea,13,"
    23.08%
  ","
    331.54
  ","
    0.62
  ","
    0.38
  ","
    1.46
  ","
    2.38
  ",0.89,int
Sway,9,"
    33.33%
  ","
    319.78
  ","
    0.56
  ","
    0.67
  ","
    0.78
  ","
    2.67
  ",0.89,int
Garenn,45,"
    37.78%
  ","
    351.42
  ","
    0.58
  ","
    0.53
  ","
    1.53
  ","
    2.56
  ",0.89,us
Noxes,83,"
    43.37%
  ","
    348.96
  ","
    0.53
  ","
    0.47
  ","
    1.76
  ","
    2.47
  ",0.89,pr
mectos,178,"
    41.01%
  ","
    339.16
  ","
    0.57
  ","
    0.58
  ","
    1.40
  ","
    2.47
  ",0.89,us
Brad,62,"
    51.61%
  ","
    329.32
  ","
    0.60
  ","
    0.53
  ","
    1.47
  ","
    2.37
  ",0.89,br
Rizzo,713,"
    57.36%
  ","
    289.45
  ","
    0.57
  ","
    0.55
  ","
    1.40
  ","
    2.45
  ",0.89,us
Killerno7,31,"
    45.16%
  ","
    225.32
  ","
    0.74
  ","
    0.29
  ","
    1.03
  ","
    2.58
  ",0.89,de
Klassux,353,"
    48.16%
  ","
    253.48
  ","
    0.58
  ","
    0.50
  ","
    1.34
  ","
    2.52
  ",0.89,us
PrimeThunder,91,"
    39.56%
  ","
    313.13
  ","
    0.62
  ","
    0.44
  ","
    1.25
  ","
    2.85
  ",0.89,us
Krexy,5,"
    40.00%
  ","
    351.20
  ","
    0.40
  ","
    0.80
  ","
    1.60
  ","
    3.00
  ",0.89,int
yeatzy,138,"
    50.72%
  ","
    339.69
  ","
    0.54
  ","
    0.48
  ","
    1.69
  ","
    2.22
  ",0.89,au
Tjester,33,"
    42.42%
  ","
    345.76
  ","
    0.73
  ","
    0.36
  ","
    1.55
  ","
    2.76
  ",0.89,int
GroovyGrape,29,"
    48.28%
  ","
    224.66
  ","
    0.62
  ","
    0.41
  ","
    1.31
  ","
    2.21
  ",0.89,au
de Boer,10,"
    60.00%
  ","
    208.00
  ","
    0.80
  ","
    0.80
  ","
    0.60
  ","
    2.40
  ",0.89,es
Lexim,104,"
    42.31%
  ","
    324.86
  ","
    0.60
  ","
    0.43
  ","
    1.35
  ","
    2.10
  ",0.89,int
SaphiiX,3,"
    0.00%
  ","
    316.33
  ","
    0.67
  ","
    0.00
  ","
    2.00
  ","
    2.67
  ",0.89,int
Kia,133,"
    43.61%
  ","
    259.35
  ","
    0.56
  ","
    0.55
  ","
    1.32
  ","
    2.34
  ",0.89,au
rothie,12,"
    50.00%
  ","
    301.33
  ","
    0.75
  ","
    0.25
  ","
    1.33
  ","
    1.83
  ",0.89,au
