Player,GP,W%,SCPG,GPG,APG,SAPG,SHPG,Rating,Country
Julz,344,"
    57.56%
  ","
    362.21
  ","
    0.86
  ","
    0.65
  ","
    1.44
  ","
    2.94
  ",1.10,au
Thundah,16,"
    37.50%
  ","
    404.75
  ","
    0.81
  ","
    0.69
  ","
    1.94
  ","
    2.63
  ",1.10,us
Alpha54,416,"
    62.02%
  ","
    428.75
  ","
    0.77
  ","
    0.63
  ","
    1.84
  ","
    3.33
  ",1.10,fr
Baked Potato,16,"
    50.00%
  ","
    406.13
  ","
    1.00
  ","
    0.50
  ","
    1.69
  ","
    2.81
  ",1.10,int
BC,3,"
    0.00%
  ","
    301.00
  ","
    1.33
  ","
    0.33
  ","
    1.33
  ","
    1.67
  ",1.10,int
delusioN,164,"
    46.95%
  ","
    353.99
  ","
    0.76
  ","
    0.63
  ","
    1.75
  ","
    2.49
  ",1.10,au
Jelly,4,"
    25.00%
  ","
    424.25
  ","
    1.00
  ","
    0.25
  ","
    2.25
  ","
    2.25
  ",1.10,us
Mingo,9,"
    33.33%
  ","
    416.89
  ","
    0.67
  ","
    0.44
  ","
    2.22
  ","
    2.67
  ",1.10,es
ctrl,12,"
    25.00%
  ","
    368.75
  ","
    0.92
  ","
    0.50
  ","
    1.50
  ","
    2.75
  ",1.10,int
zol,27,"
    40.74%
  ","
    400.07
  ","
    0.85
  ","
    0.59
  ","
    1.67
  ","
    2.48
  ",1.09,ca
cloud,19,"
    36.84%
  ","
    460.84
  ","
    0.68
  ","
    0.63
  ","
    2.47
  ","
    3.26
  ",1.09,int
M1k3Rules,101,"
    69.31%
  ","
    246.39
  ","
    0.91
  ","
    0.87
  ","
    1.17
  ","
    2.91
  ",1.09,ie
ApparentlyJack,88,"
    48.86%
  ","
    430.24
  ","
    0.84
  ","
    0.61
  ","
    1.72
  ","
    3.43
  ",1.09,gb
Frenzyy,87,"
    47.13%
  ","
    399.41
  ","
    0.74
  ","
    0.59
  ","
    1.72
  ","
    2.43
  ",1.08,au
aoe emp,47,"
    55.32%
  ","
    258.53
  ","
    0.96
  ","
    0.45
  ","
    1.06
  ","
    2.74
  ",1.08,au
Kash,74,"
    41.89%
  ","
    434.47
  ","
    0.80
  ","
    0.57
  ","
    1.85
  ","
    3.27
  ",1.08,gb
Noiisey,62,"
    35.48%
  ","
    398.10
  ","
    0.60
  ","
    0.58
  ","
    1.85
  ","
    2.18
  ",1.08,br
Exodus,46,"
    45.65%
  ","
    415.89
  ","
    1.00
  ","
    0.48
  ","
    1.78
  ","
    2.93
  ",1.08,int
snYpz,23,"
    43.48%
  ","
    439.30
  ","
    0.96
  ","
    0.39
  ","
    2.26
  ","
    3.22
  ",1.08,int
Cooper,4,"
    25.00%
  ","
    228.75
  ","
    0.75
  ","
    0.75
  ","
    2.00
  ","
    1.25
  ",1.08,fr
itachi,229,"
    49.78%
  ","
    413.03
  ","
    0.71
  ","
    0.80
  ","
    1.79
  ","
    2.70
  ",1.08,int
Torsos,461,"
    67.25%
  ","
    341.80
  ","
    0.86
  ","
    0.63
  ","
    1.28
  ","
    2.83
  ",1.08,au
GarrettG,797,"
    63.49%
  ","
    341.26
  ","
    0.85
  ","
    0.56
  ","
    1.49
  ","
    3.19
  ",1.07,us
